image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
1|class1873|21|Class|tiff|Mike Meade, Alex Rogers|||1873-01-01|Holman's Ltd.|9796|9458|569.7|14.9x14.6|||reverse had stamp "Pictures and Framing Holman's Ltd. Saint John, N.B."|16|0||72
2|class1875|22|Class|tiff|Mike Meade, Alex Rogers|||1875-01-01||11662|9660|483.45|19.3x15.3||||13|0||72
3|class1876_ec|0|Encaenia|tiff|Mike Meade, Alex Rogers|Old Arts Building|College|1876-01-01|W A Moores|6694|8796||||||28|5||72
4|class1879|0|Encaenia|tiff|Mike Meade, Alex Rogers|Old Arts Building||1879-01-01|Geo. W Schleyer|4716|6036|300|||||50|0||72
5|class1882_ec|80|Encaenia|tiff|Mike Meade, Alex Rogers|||1882-01-01|Geo. W Schleyer|8707|11674|300|29x38.9||||52|5||72
6|class1885_alt|0|Class|tiff|Mike Meade, Alex Rogers|||1885-01-01||6054|7221||||||0|0||72
7|class1885_ec|0|Encaenia|tiff|Mike Meade, Alex Rogers|||1885-01-01|Geo. W Schleyer|8120|10969||||||46|5||72
8|class1885|0|Class|tiff|Mike Meade, Alex Rogers|||1885-01-01||8923|11787||||||10|1||72
9|class1888|0|Encaenia|tiff|Mike Meade, Alex Rogers|||1888-01-01||9049|12400|300||||frame cuts off edges|76|5||72
10|class1892_ec|0|Encaenia|tiff|Mike Meade, Alex Rogers|||1892-01-01|Geo.  A Burkhardt|11799|18566|300||||stitched together from multiple shots|84|7||72
11|class1892_law|0|Club|tiff|Mike Meade, Alex Rogers|||1892-01-01||12228|10273|||||Law Students' Debating Club of St. John, NB|0|0||72
12|class1896_ec|0|Encaenia|tiff|Mike Meade, Alex Rogers|||1896-01-01|J Harvey|11801|15033|300||||stitched together from multiple shots|76|7||72
13|class1900|0|Encoenia|tiff|Mike Meade, Alex Rogers|||1900-01-01|J Harvey|12028|8926|176||||stitched together from multiple shots|101|7||72
14|class1902|24|Class|tiff|Mike Meade, Alex Rogers|||1902-01-01|Harvey's Studio|8962|10680|300|21.6x27.2||||20|0||72
15|class1903|0|Class|tiff|Mike Meade, Alex Rogers|||1903-01-01|Harvey|6111|4967|300|||||25|0||72
16|class1904_ec|0|Encoenia|tiff|Mike Meade, Alex Rogers|||1904-01-01|Harvey Photo|13684|11596||||||0|0||72
17|class1904|0|Class|tiff|Mike Meade, Alex Rogers|Forestry & Geology, Old Arts Building|Science Building, Provincial University Building|1904-01-01|Geo. A Burkhardt Studio|11678|8989|300|||||27|0||72
18|class1905_freshmen|0|Freshmen Class|tiff|Mike Meade, Alex Rogers|||1905-01-01|Harvey|7984|5600||||||9|0|class1905_freshmen_back|72
19|class1905|17|Class|tiff|Mike Meade, Alex Rogers|Old Arts, Forestry & Geology|University of New Brunswick, UNB Science Building|1905-01-01|Burkhardt's Studio|12213|9555||||||26|0||72
