Title_alternate|Contributor_1_name|Contributor_1_type|Contributor_1_role|Contributor_2_name|Contributor_2_type|Contributor_2_role|Contributor_3_name|Contributor_3_type|Contributor_3_role|Description|Subject|ETC_fileName|ETC_Note|Dimensions|Source|Coverage_periodName|ETC_AltId
AMATEUR ATHLETIC ASSOCIATION||NULL|illustrator||NULL|illustrator||NULL|illustrator|Back row (left to right):  W. Blake O'Brien, R. Harold Robinson, James J.E. Dosne, John C. McNair, Douglas$B. Simpson, James F. Fettes, John Kilburn Young, and Charles A. Bunker<P>$Front Row (left to right):  Joyce Mavor, Prof. E.A. McCourt, Cecil J. Garland, J. Gerald Lockhart, T. Edward$R. Mitton, Prof. Howie R. Ryan, and Mary J. Murray<P>$This appears to be a photo of a committee or board (men and women).  This photo appears with partial identification in the 1944 "Up the Hill" yearbook.|O'Brien,  W. Blake$Robinson,  R. Harold$Dosne,  James J.E.$McNair,  John C.$Simpson,  Douglas B.$Fettes,  James F.$Young,  John Kilburn$Bunker,  Charles A.$Mavor,  Joyce$McCourt,  Prof. E.A.$Garland,  Cecil J.$Lockhart,  J. Gerald$Mitton,  T. Edward R.$Ryan,  Prof. Howie R.$Murray,  Mary J.|98.tif|Conservation:  faded at edges|b&w:  10" x 8"|PE 98|1943-1944|98
ATHLETIC AWARDS - Coed|Stone's Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Left to right:  Cathy Aitkins, Tony Proudfoot <P>$"1969-70 Male and Female Athletes of the Year," holding trophy and medal.  A similar photo of the same individuals appears with complete identification in the 1970 "Up the Hill" yearbook.|Aitkins,  Cathy$Proudfoot,  Tony|177.tif||b&w:  8" x 10"|UA PC-16 NO-71(7)|1970|177
ATHLETIC AWARDS - Coed|Joe Stone and Son|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Left to right:  Leckie Langley, Brian Gill <P>$"1968-69 Female and Male Athletes of the Year," shown with plaque and medal.|Langley,  Leckie$Gill,  Brian|180.tif||b&w:  8" x 10"|UA PC-16 NO-71(4)|1969|180
ATHLETIC AWARDS - Coed|Stone's Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Dave Hughes, Brian Mosher, Gwen MacDonald, Frank Flanagan, Joyce Doughwright, Tony Proudfoot, Peter Merrill, Cathy Aitkins <P>$Front Row (left ot right):  Bob Bonnell, Dick Slipp, Don MacIntyre, John Sheppard, Joseph Dadson <P>$Absent from photo:  Houstan MacPherson <P>$Winners posed with their trophies.  A similar photo appears with complete identification in the 1970 "Up the Hill" yearbook.|Hughes,  Dave$Mosher,  Brian$MacDonald,  Gwen$Flanagan,  Frank$Doughwright,  Joyce$Proudfoot,  Tony$Merrill,  Peter$Aitkins,  Cathy$Bonnell,  Bob$Slipp,  Dick$MacIntyre,  Don$Sheppard,  John$Dadson,  Joseph|183.tif||b&w:  10" x 7"|UA PC-16 NO-71(1)|1970|183
ATHLETIC AWARDS - Men|Brown, Tanya|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Darrell, LeBlanc, Preston Thom, Chris Williamson, Rollie, Roland Labonte, Jack Drover, Bob Baber, Emmanuel Batoko<P>$Each man is holding the trophy for his sport.  "Individual Athletic Award Winners 1963-64".|LeBlanc,  Darrell$Thom,  Preston$Williamson,  Chris$Labonte,  Rollie,  Roland$Drover,  Jack$Baber,  Bob$Batoko,  Emmanuel|175.tif|Conservation:  upper left corner and right edge torn.  Reduction instructions written in margins|b&w:  10" x 8"|UA PC-16 NO-66|1963-1964|175
ATHLETIC AWARDS - Men|Stone's Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Male Athlete of the Year award presentation.|Proudfoot,  Tony|179.tif|Conservation:  several slight abrasions on photo|b&w:  10" x 8"|UA PC-16 NO-71(5)|1970|179
ATHLETIC AWARDS - Women|Stone's Studio|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Female Athlete of the Year award presentation.|Aitkins,  Cathy|178.tif||b&w:  10" x 8"|UA PC-16 NO-71(6)|1970|178
BADMINTON - Coed|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Jim Strickland (Mgr.), Robert L.G. Bishop, Hartley Miller, Mary E. Holder, Don Ganong, Doug Rouse, Edward James Tarlton <P> $This photo appears with complete identification in the 1948 "Up the Hill" yearbook.  Shown with badminton racquets and net.|Strickland,  Jim$Bishop,  Robert L.G.$Miller,  Hartley$Holder,  Mary E.$Ganong,  Don$Rouse,  Doug$Tarlton,  Edward James|358.tif||b&w:  7" x 5"|Shelf A - Sports Yearbook 1948 Envelope|1948|358
BASKETBALL - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Back Row (left to right):  Emerson A. Moffitt (Asst. Mgr.), R. Harold Robinson (Mgr.), E. Eugene True, Edward T. Owens, T. Edward R. Mitton, Keith O. Sidwell, Neil J. Elgee, Howie R. Ryan (Coach)<P>$Front Row (left to right):  Cedric W. MacDiarmid, George C. McClintock, J. Gerald Lockhart (Capt.), Cecil J.$Garland, Arthur S. Demers<P>$"Maritime Intercollegiate and Intermediate Champions."  Coach is dressed in military uniform.  Shown with basketball with "'44."|Moffitt,  Emerson A.$Robinson,  R. Harold$True,  E. Eugene$Owens,  Edward T.$Mitton,  T. Edward R.$Sidwell,  Keith O.$Elgee,  Neil J.$Ryan,  Howie R.$MacDiarmid,  Cedric W.$McClintock,  George C.$Lockhart,  J. Gerald$Garland,  Cecil J.$Demers,  Arthur S.|8.tif|Conservation:  crack in centre of photo|b&w:  10" x 8"|PE 08|1944|8
BASKETBALL - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Dave Stothart (Capt.), Cecil Garland, Frank Dohaney, Bud Hanson, Bob Smith, George Garner, Bruce Campbell, A. Tommy, George Jardine, Art Demers <P>$"Maritime Intercollegiate Basketball Champs 1947 Senior Varsity."  Photo taken from above basketball net, with ball in net.|Stothart,  Dave$Garland,  Cecil$Dohaney,  Frank$Hanson,  Bud $Smith,  Bob$Garner,  George$Campbell,  Bruce$Tommy,  A.$Jardine,  George$Demers,  Art|14.tif|Framed:  12.5" x 11"|b&w:  12" x 10"|PE 14|1947|14
